[2026-09-14T04:31:46.632787+00:00] Victim: Ninama Jinkumar | Wallet: 0x430FcF41E9C25711138eee0c898b0B18060204eB | Chain-of-Custody Hash: c2488341f800c593ad7af6040c60c9ba9fc41df07b0ac0c3004018923785efc5
[2026-09-14T04:31:46.786391+00:00] Victim: Ninama Jinkumar | Wallet: 0x430FcF41E9C25711138eee0c898b0B18060204eB | Chain-of-Custody Hash: ff3481c64ec5a873fb4bb7f8bed748864b1a3d151bf7733a241176d8e32851b6
[2026-09-14T04:31:46.957998+00:00] Victim: Ninama Jinkumar | Wallet: 0x430FcF41E9C25711138eee0c898b0B18060204eB | Chain-of-Custody Hash: 5d92e680a1aede7662790d706b92ce7822d6dc6c732f7685ad0dce7b1d902601
[2026-09-14T04:31:47.157151+00:00] Victim: Ninama Jinkumar | Wallet: 0x430FcF41E9C25711138eee0c898b0B18060204eB | Chain-of-Custody Hash: e956014b6302a4b9e8ed5db9b3d6595d4374bff52e2550a20514a14b0dc8e8da
[2026-09-14T04:31:47.429027+00:00] Victim: Ninama Jinkumar | Wallet: 0x430FcF41E9C25711138eee0c898b0B18060204eB | Chain-of-Custody Hash: 7dbc9c36ae4005ace6968577047b9ea842ec3d14fb62c428106f5eed2c508874
[2026-09-14T04:31:47.624743+00:00] Victim: Ninama Jinkumar | Wallet: 0x430FcF41E9C25711138eee0c898b0B18060204eB | Chain-of-Custody Hash: 9c36c6a35b1ff222ff64dab6028c01db5dac5881956e026f847f8500f8649558
[2026-09-14T04:31:47.806337+00:00] Victim: Ninama Jinkumar | Wallet: 0x430FcF41E9C25711138eee0c898b0B18060204eB | Chain-of-Custody Hash: f53581f049ea1a0f43077ececc23a2a588c7c84027141d91888e0485fc817047
[2026-09-14T04:31:47.951302+00:00] Victim: Ninama Jinkumar | Wallet: 0x430FcF41E9C25711138eee0c898b0B18060204eB | Chain-of-Custody Hash: e2e579db6038d842895312ac9ed9c5e55a3df768feeff95fbbaed634480f385a
[2026-09-14T04:31:48.106153+00:00] Victim: Ninama Jinkumar | Wallet: 0x430FcF41E9C25711138eee0c898b0B18060204eB | Chain-of-Custody Hash: 42cc58eaefc53d5588e9f73691bf7a5bdd8f5622ad9b6fa6b9ab8544a4084fa9
[2026-09-14T04:33:32.472413+00:00] Victim: Jinkumar Ninama | Wallet: 0x430FcF41E9C25711138eee0c898b0B18060204eB | Chain-of-Custody Hash: caa7a7bba6a795a0430b0bd6f2d3b28b11f57d21447df07ec4dfcbd673f8ad74
